commodity,month,marketing_year,soybean_crush_mbu,soybean_oil_stocks_mlb,soybean_meal_production_short_tons,source
SOYBEANS,2015-05-01,2014/15,156.0774,1054.953,3472958.0,USDA NASS Oilseed Crushings
SOYBEANS,2015-06-01,2014/15,151.63676666666666,1027.209,3380130.0,USDA NASS Oilseed Crushings
SOYBEANS,2015-07-01,2014/15,155.76403333333334,993.484,3468950.0,USDA NASS Oilseed Crushings
SOYBEANS,2015-08-01,2014/15,144.578,823.426,3193281.0,USDA NASS Oilseed Crushings
SOYBEANS,2015-09-01,2015/16,134.5632,736.754,2974159.0,USDA NASS Oilseed Crushings
SOYBEANS,2015-10-01,2015/16,170.13366666666667,747.77,3742412.0,USDA NASS Oilseed Crushings
SOYBEANS,2015-11-01,2015/16,165.78446666666665,750.725,3655750.0,USDA NASS Oilseed Crushings
SOYBEANS,2015-12-01,2015/16,167.04413333333335,778.789,3669213.0,USDA NASS Oilseed Crushings
SOYBEANS,2016-01-01,2015/16,160.46813333333336,890.95,3539791.0,USDA NASS Oilseed Crushings
SOYBEANS,2016-02-01,2015/16,154.6221,976.8,3425236.0,USDA NASS Oilseed Crushings
SOYBEANS,2016-03-01,2015/16,166.38753333333335,1013.888,3677248.0,USDA NASS Oilseed Crushings
SOYBEANS,2016-04-01,2015/16,158.16966666666664,1033.659,3502911.0,USDA NASS Oilseed Crushings
SOYBEANS,2016-05-01,2015/16,160.8611,1001.7,3561181.0,USDA NASS Oilseed Crushings
SOYBEANS,2016-06-01,2015/16,154.12506666666667,941.373,3411099.0,USDA NASS Oilseed Crushings
SOYBEANS,2016-07-01,2015/16,153.45143333333334,823.753,3403386.0,USDA NASS Oilseed Crushings
SOYBEANS,2016-08-01,2015/16,140.6263,705.836,3111301.0,USDA NASS Oilseed Crushings
SOYBEANS,2016-09-01,2016/17,138.26693333333336,600.477,3042315.0,USDA NASS Oilseed Crushings
SOYBEANS,2016-10-01,2016/17,175.8805,592.33,3830125.0,USDA NASS Oilseed Crushings
SOYBEANS,2016-11-01,2016/17,170.7346,618.32,3739093.0,USDA NASS Oilseed Crushings
SOYBEANS,2016-12-01,2016/17,169.04976666666667,632.124,3690668.0,USDA NASS Oilseed Crushings
SOYBEANS,2017-01-01,2016/17,171.32353333333333,794.281,3763462.0,USDA NASS Oilseed Crushings
SOYBEANS,2017-02-01,2016/17,151.4112,861.399,3331018.0,USDA NASS Oilseed Crushings
SOYBEANS,2017-03-01,2016/17,160.76536666666667,908.252,3528733.0,USDA NASS Oilseed Crushings
SOYBEANS,2017-04-01,2016/17,150.31543333333335,897.851,3300745.0,USDA NASS Oilseed Crushings
SOYBEANS,2017-05-01,2016/17,157.97956666666667,878.587,3491318.0,USDA NASS Oilseed Crushings
SOYBEANS,2017-06-01,2016/17,148.22876666666664,798.79,3268397.0,USDA NASS Oilseed Crushings
SOYBEANS,2017-07-01,2016/17,155.62266666666665,719.632,3400652.0,USDA NASS Oilseed Crushings
SOYBEANS,2017-08-01,2016/17,151.61973333333336,598.197,3319155.0,USDA NASS Oilseed Crushings
SOYBEANS,2017-09-01,2017/18,145.37356666666665,601.211,3188771.0,USDA NASS Oilseed Crushings
SOYBEANS,2017-10-01,2017/18,175.91323333333335,567.67,3847770.0,USDA NASS Oilseed Crushings
SOYBEANS,2017-11-01,2017/18,173.34873333333334,651.572,3829140.0,USDA NASS Oilseed Crushings
SOYBEANS,2017-12-01,2017/18,176.3405,775.431,3904161.0,USDA NASS Oilseed Crushings
SOYBEANS,2018-01-01,2017/18,174.6609,886.164,3859849.0,USDA NASS Oilseed Crushings
SOYBEANS,2018-02-01,2017/18,164.95906666666664,928.514,3651786.0,USDA NASS Oilseed Crushings
SOYBEANS,2018-03-01,2017/18,182.17466666666667,915.122,4029272.0,USDA NASS Oilseed Crushings
SOYBEANS,2018-04-01,2017/18,171.63823333333335,924.045,3822338.0,USDA NASS Oilseed Crushings
SOYBEANS,2018-05-01,2017/18,172.468,834.579,3846687.0,USDA NASS Oilseed Crushings
SOYBEANS,2018-06-01,2017/18,169.5647,833.122,3778127.0,USDA NASS Oilseed Crushings
SOYBEANS,2018-07-01,2017/18,178.86093333333335,755.82,3979120.0,USDA NASS Oilseed Crushings
SOYBEANS,2018-08-01,2017/18,169.62946666666664,710.679,3771727.0,USDA NASS Oilseed Crushings
SOYBEANS,2018-09-01,2018/19,169.64933333333335,680.37,3740681.0,USDA NASS Oilseed Crushings
SOYBEANS,2018-10-01,2018/19,183.55843333333334,689.945,4020038.0,USDA NASS Oilseed Crushings
SOYBEANS,2018-11-01,2018/19,178.10176666666666,711.421,3889342.0,USDA NASS Oilseed Crushings
SOYBEANS,2018-12-01,2018/19,183.77553333333336,712.207,4016547.0,USDA NASS Oilseed Crushings
SOYBEANS,2019-01-01,2018/19,183.0709,795.882,3988737.0,USDA NASS Oilseed Crushings
SOYBEANS,2019-02-01,2018/19,162.78113333333334,851.704,3583222.0,USDA NASS Oilseed Crushings
SOYBEANS,2019-03-01,2018/19,179.4336,942.477,3926558.0,USDA NASS Oilseed Crushings
SOYBEANS,2019-04-01,2018/19,171.54676666666666,916.266,3763527.0,USDA NASS Oilseed Crushings
SOYBEANS,2019-05-01,2018/19,165.44236666666666,810.916,3660325.0,USDA NASS Oilseed Crushings
SOYBEANS,2019-06-01,2018/19,157.6379,802.215,3453178.0,USDA NASS Oilseed Crushings
SOYBEANS,2019-07-01,2018/19,179.4632,790.119,3918907.0,USDA NASS Oilseed Crushings
SOYBEANS,2019-08-01,2018/19,177.52933333333334,731.432,3880500.0,USDA NASS Oilseed Crushings
SOYBEANS,2019-09-01,2019/20,162.33446666666666,697.669,3553484.0,USDA NASS Oilseed Crushings
SOYBEANS,2019-10-01,2019/20,187.1872,646.004,4105453.0,USDA NASS Oilseed Crushings
SOYBEANS,2019-11-01,2019/20,174.6484,739.832,3855827.0,USDA NASS Oilseed Crushings
SOYBEANS,2019-12-01,2019/20,184.74246666666664,830.219,4062929.0,USDA NASS Oilseed Crushings
SOYBEANS,2020-01-01,2019/20,188.7801,862.567,4144355.0,USDA NASS Oilseed Crushings
SOYBEANS,2020-02-01,2019/20,175.29256666666666,947.485,3863475.0,USDA NASS Oilseed Crushings
SOYBEANS,2020-03-01,2019/20,192.16223333333335,856.124,4234605.0,USDA NASS Oilseed Crushings
SOYBEANS,2020-04-01,2019/20,183.39416666666665,939.273,4038220.0,USDA NASS Oilseed Crushings
SOYBEANS,2020-05-01,2019/20,179.55113333333335,875.53,3970047.0,USDA NASS Oilseed Crushings
SOYBEANS,2020-06-01,2019/20,177.28063333333336,773.306,3904725.0,USDA NASS Oilseed Crushings
SOYBEANS,2020-07-01,2019/20,184.50653333333335,729.374,4080746.0,USDA NASS Oilseed Crushings
SOYBEANS,2020-08-01,2019/20,174.67433333333335,656.302,3851205.0,USDA NASS Oilseed Crushings
SOYBEANS,2020-09-01,2020/21,171.0555,604.951,3754168.0,USDA NASS Oilseed Crushings
SOYBEANS,2020-10-01,2020/21,196.5693,693.17,4335054.0,USDA NASS Oilseed Crushings
SOYBEANS,2020-11-01,2020/21,191.04023333333333,759.569,4230274.0,USDA NASS Oilseed Crushings
SOYBEANS,2020-12-01,2020/21,193.1411,781.381,4235822.0,USDA NASS Oilseed Crushings
SOYBEANS,2021-01-01,2020/21,196.512,915.444,4353068.0,USDA NASS Oilseed Crushings
SOYBEANS,2021-02-01,2020/21,164.34996666666666,953.464,3652574.0,USDA NASS Oilseed Crushings
SOYBEANS,2021-03-01,2020/21,188.22426666666667,881.363,4181300.0,USDA NASS Oilseed Crushings
SOYBEANS,2021-04-01,2020/21,169.85436666666666,945.718,3773943.0,USDA NASS Oilseed Crushings
SOYBEANS,2021-05-01,2020/21,173.50106666666665,893.077,3849675.0,USDA NASS Oilseed Crushings
SOYBEANS,2021-06-01,2020/21,161.74446666666665,831.496,3579777.0,USDA NASS Oilseed Crushings
SOYBEANS,2021-07-01,2020/21,166.3332,822.597,3698749.0,USDA NASS Oilseed Crushings
SOYBEANS,2021-08-01,2020/21,168.2592,872.12,3728116.0,USDA NASS Oilseed Crushings
SOYBEANS,2021-09-01,2021/22,164.15246666666667,841.384,3604266.0,USDA NASS Oilseed Crushings
SOYBEANS,2021-10-01,2021/22,196.93856666666665,957.162,4284256.0,USDA NASS Oilseed Crushings
SOYBEANS,2021-11-01,2021/22,190.5981,937.363,4164959.0,USDA NASS Oilseed Crushings
SOYBEANS,2021-12-01,2021/22,198.24073333333334,954.641,4322245.0,USDA NASS Oilseed Crushings
SOYBEANS,2022-01-01,2021/22,194.29913333333334,957.236,4231017.0,USDA NASS Oilseed Crushings
SOYBEANS,2022-02-01,2021/22,174.4151,1019.221,3817784.0,USDA NASS Oilseed Crushings
SOYBEANS,2022-03-01,2021/22,192.87196666666665,986.203,4249054.0,USDA NASS Oilseed Crushings
SOYBEANS,2022-04-01,2021/22,180.8904,1006.036,3975098.0,USDA NASS Oilseed Crushings
SOYBEANS,2022-05-01,2021/22,180.90533333333335,1010.927,3978135.0,USDA NASS Oilseed Crushings
SOYBEANS,2022-06-01,2021/22,174.0804,961.721,3837474.0,USDA NASS Oilseed Crushings
SOYBEANS,2022-07-01,2021/22,181.39266666666666,911.063,3988429.0,USDA NASS Oilseed Crushings
SOYBEANS,2022-08-01,2021/22,175.0873,824.981,3870512.0,USDA NASS Oilseed Crushings
SOYBEANS,2022-09-01,2022/23,167.60956666666667,747.228,3666107.0,USDA NASS Oilseed Crushings
SOYBEANS,2022-10-01,2022/23,196.65646666666666,825.227,4325878.0,USDA NASS Oilseed Crushings
SOYBEANS,2022-11-01,2022/23,189.56993333333335,900.68,4190550.0,USDA NASS Oilseed Crushings
SOYBEANS,2022-12-01,2022/23,187.4187,1014.514,4154614.0,USDA NASS Oilseed Crushings
SOYBEANS,2023-01-01,2022/23,191.1466,1015.648,4254599.0,USDA NASS Oilseed Crushings
SOYBEANS,2023-02-01,2022/23,176.89983333333333,1004.199,3934588.0,USDA NASS Oilseed Crushings
SOYBEANS,2023-03-01,2022/23,197.96706666666665,1010.089,4402548.0,USDA NASS Oilseed Crushings
SOYBEANS,2023-04-01,2022/23,186.9869,1092.562,4162406.0,USDA NASS Oilseed Crushings
SOYBEANS,2023-05-01,2022/23,189.3032,941.244,4182704.0,USDA NASS Oilseed Crushings
SOYBEANS,2023-06-01,2022/23,174.55053333333333,889.944,3886684.0,USDA NASS Oilseed Crushings
SOYBEANS,2023-07-01,2022/23,184.83336666666665,870.177,4088890.0,USDA NASS Oilseed Crushings
SOYBEANS,2023-08-01,2022/23,168.99566666666666,759.927,3767064.0,USDA NASS Oilseed Crushings
SOYBEANS,2023-09-01,2023/24,174.76436666666666,716.347,3843681.0,USDA NASS Oilseed Crushings
SOYBEANS,2023-10-01,2023/24,201.3895,660.533,4442466.0,USDA NASS Oilseed Crushings
SOYBEANS,2023-11-01,2023/24,200.09026666666665,728.717,4399878.0,USDA NASS Oilseed Crushings
SOYBEANS,2023-12-01,2023/24,204.28526666666664,869.075,4503856.0,USDA NASS Oilseed Crushings
SOYBEANS,2024-01-01,2023/24,194.27966666666666,985.501,4290410.0,USDA NASS Oilseed Crushings
SOYBEANS,2024-02-01,2023/24,193.44176666666667,1019.238,4257700.0,USDA NASS Oilseed Crushings
SOYBEANS,2024-03-01,2023/24,203.5352,1098.42,4485471.0,USDA NASS Oilseed Crushings
SOYBEANS,2024-04-01,2023/24,177.5692,1047.499,3931950.0,USDA NASS Oilseed Crushings
SOYBEANS,2024-05-01,2023/24,191.62596666666667,957.625,4222387.0,USDA NASS Oilseed Crushings
SOYBEANS,2024-06-01,2023/24,183.49256666666665,955.757,4050911.0,USDA NASS Oilseed Crushings
SOYBEANS,2024-07-01,2023/24,193.27446666666665,807.051,4266548.0,USDA NASS Oilseed Crushings
SOYBEANS,2024-08-01,2023/24,167.55493333333334,677.583,3705121.0,USDA NASS Oilseed Crushings
SOYBEANS,2024-09-01,2024/25,186.50316666666666,697.58,4092457.0,USDA NASS Oilseed Crushings
SOYBEANS,2024-10-01,2024/25,215.78346666666667,698.752,4771514.0,USDA NASS Oilseed Crushings
SOYBEANS,2024-11-01,2024/25,210.04083333333335,691.721,4662626.0,USDA NASS Oilseed Crushings
SOYBEANS,2024-12-01,2024/25,217.70143333333334,651.979,4826261.0,USDA NASS Oilseed Crushings
SOYBEANS,2025-01-01,2024/25,212.5545,779.928,4712365.0,USDA NASS Oilseed Crushings
SOYBEANS,2025-02-01,2024/25,189.5768,833.304,4206736.0,USDA NASS Oilseed Crushings
SOYBEANS,2025-03-01,2024/25,206.75473333333335,831.814,4608761.0,USDA NASS Oilseed Crushings
SOYBEANS,2025-04-01,2024/25,202.38466666666665,869.563,4508938.0,USDA NASS Oilseed Crushings
SOYBEANS,2025-05-01,2024/25,203.70383333333334,834.978,4522401.0,USDA NASS Oilseed Crushings
SOYBEANS,2025-06-01,2024/25,196.92476666666667,849.327,4387060.0,USDA NASS Oilseed Crushings
SOYBEANS,2025-07-01,2024/25,205.17363333333336,870.147,4556455.0,USDA NASS Oilseed Crushings
SOYBEANS,2025-08-01,2024/25,198.035,775.782,4411202.0,USDA NASS Oilseed Crushings
SOYBEANS,2025-09-01,2025/26,204.95146666666665,743.708,4528163.0,USDA NASS Oilseed Crushings
SOYBEANS,2025-10-01,2025/26,236.34606666666664,764.046,5218441.0,USDA NASS Oilseed Crushings
SOYBEANS,2025-11-01,2025/26,220.50586666666666,879.067,4880779.0,USDA NASS Oilseed Crushings
SOYBEANS,2025-12-01,2025/26,229.86543333333336,994.386,5107259.0,USDA NASS Oilseed Crushings
SOYBEANS,2026-01-01,2025/26,227.9798,1173.409,5061962.0,USDA NASS Oilseed Crushings
SOYBEANS,2026-02-01,2025/26,214.21173333333334,1264.842,4752577.0,USDA NASS Oilseed Crushings
SOYBEANS,2026-03-01,2025/26,231.8004,1259.216,5162831.0,USDA NASS Oilseed Crushings
SOYBEANS,2026-04-01,2025/26,217.51086666666666,1196.25,4833202.0,USDA NASS Oilseed Crushings
SOYBEANS,2026-05-01,2025/26,213.1136,1110.681,4735529.0,USDA NASS Oilseed Crushings
