state_alpha,state_name,is_national
AL,ALABAMA,False
AR,ARKANSAS,False
AZ,ARIZONA,False
CA,CALIFORNIA,False
CO,COLORADO,False
CT,CONNECTICUT,False
DE,DELAWARE,False
FL,FLORIDA,False
GA,GEORGIA,False
IA,IOWA,False
ID,IDAHO,False
IL,ILLINOIS,False
IN,INDIANA,False
KS,KANSAS,False
KY,KENTUCKY,False
LA,LOUISIANA,False
MA,MASSACHUSETTS,False
MD,MARYLAND,False
ME,MAINE,False
MI,MICHIGAN,False
MN,MINNESOTA,False
MO,MISSOURI,False
MS,MISSISSIPPI,False
MT,MONTANA,False
NC,NORTH CAROLINA,False
ND,NORTH DAKOTA,False
NE,NEBRASKA,False
NH,NEW HAMPSHIRE,False
NJ,NEW JERSEY,False
NM,NEW MEXICO,False
NV,NEVADA,False
NY,NEW YORK,False
OH,OHIO,False
OK,OKLAHOMA,False
OR,OREGON,False
OT,OTHER STATES,False
PA,PENNSYLVANIA,False
RI,RHODE ISLAND,False
SC,SOUTH CAROLINA,False
SD,SOUTH DAKOTA,False
TN,TENNESSEE,False
TX,TEXAS,False
US,US TOTAL,True
UT,UTAH,False
VA,VIRGINIA,False
VT,VERMONT,False
WA,WASHINGTON,False
WI,WISCONSIN,False
WV,WEST VIRGINIA,False
WY,WYOMING,False
